paper,title,room,category
1550,"NYSE Price Correlations Are Abitrageable Over Hours and Predictable Over
  Years",Room 4,q-fin.PR
1551,"Attentional Speech Recognition Models Misbehave on Out-of-domain
  Utterances",Room 2,eess.AS
1552,Agent Simulation of Chain Bankruptcy,Room 3,q-fin.GN
1553,An abstract setting for hamiltonian actions,Room 7,math.SG
1554,"EarnHFT: Efficient Hierarchical Reinforcement Learning for High
  Frequency Trading",Room 3,q-fin.TR
1555,Examining the Interface Design of Tidyverse,Room 11,stat.OT
1556,"AI, Ageing and Brain-Work Productivity: Technological Change in
  Professional Japanese Chess",Room 4,econ.GN
1557,HI velocity dispersion in NGC 1058,Room 12,astro-ph
1558,Layered Adaptive Importance Sampling,Room 1,stat.CO
1559,"Design Diversity for Improving Efficiency and Reducing Risk in Oil and
  Gas Well Stimulation under Uncertain Reservoir Conditions",Room 10,q-fin.PM
1560,Microtubule shuttles on kinesin-coated glass micro-wire tracks,Room 8,q-bio.BM
1561,Automatic Coding Rule Conformance Checking Using Logic Programs,Room 12,cs.PL
1562,"Formal Integrals and Noether Operators of Nonlinear Hyperbolic Partial
  Differential Systems Admitting a Rich Set of Symmetries",Room 5,nlin.SI
1563,"Multi-echo Reconstruction from Partial K-space Scans via Adaptively
  Learnt Basis",Room 2,eess.IV
1564,"Sensitivity Analysis for Vehicle Dynamics Models -- An Approach to Model
  Quality Assessment for Automated Vehicles",Room 1,eess.SY
1565,The Rule Responder eScience Infrastructure,Room 1,cs.MA
1566,"Comparison of Various Methods for the Calculation of the Distance
  Potential Field",Room 1,physics.comp-ph
1567,"Leverage, Influence, and the Jackknife in Clustered Regression Models:
  Reliable Inference Using summclust",Room 1,econ.EM
1568,String Gaussian Process Kernels,Room 2,stat.ML
1569,Continuous-time discrete-space models for animal movement,Room 6,stat.AP
1570,Reproducible Research Can Still Be Wrong: Adopting a Prevention Approach,Room 1,stat.AP
1571,"Efficient stochastic sampling of first-passage times with applications
  to self-assembly simulations",Room 6,q-bio.QM
1572,Exploring linearity of deep neural network trained QSM: QSMnet+,Room 2,eess.IV
1573,Image denoising through bivariate shrinkage function in framelet domain,Room 1,eess.IV
1574,Testing the causality of Hawkes processes with time reversal,Room 3,q-fin.ST
1575,Nonlinear Virtual Inertia Control of WTGs for Enhancing Primary Frequency Response and Suppressing Drive-Train Torsional Oscillations,Room 10,eess.SY
1576,Stability of Conditional Sequential Monte Carlo,Room 1,stat.CO
1577,"Turing patterns and apparent competition in predator-prey food webs on
  networks",Room 6,nlin.PS
1578,"A Note on the Kullback-Leibler Divergence for the von Mises-Fisher
  distribution",Room 1,stat.ML
1579,"Phase transition in the rich-get-richer mechanism due to finite-size
  effects",Room 3,q-fin.GN
1580,Identifying Demand Effects in a Large Network of Product Categories,Room 1,stat.AP
1581,The Impact of Genomic Variation on Function (IGVF) Consortium,Room 2,q-bio.OT
1582,"Data-driven Dynamic Multi-objective Optimal Control: An
  Aspiration-satisfying Reinforcement Learning Approach",Room 10,eess.SY
1583,Noise-driven oscillations in microbial population dynamics,Room 6,q-bio.PE
1584,"CoHSI IV: Unifying Horizontal and Vertical Gene Transfer - is Mechanism
  Irrelevant ?",Room 6,q-bio.OT
1585,Procurements with Bidder Asymmetry in Cost and Risk-Aversion,Room 4,econ.GN
1586,"Full solution for the storage of correlated memories in an
  autoassociative memory",Room 6,cond-mat.dis-nn
1587,"Quantitative Analysis of the Effective Functional Structure in Yeast
  Glycolysis",Room 6,q-bio.QM
1588,Generic Forward Curve Dynamics for Commodity Derivatives,Room 3,q-fin.PR
1589,"Construction of Complete Embedded Self-Similar Surfaces under Mean
  Curvature Flow. Part II",Room 7,math.DG
1590,Twisted Homology of Quantum SL(2) - Part II,Room 7,math.QA
1591,Quantitative analysis of privatization,Room 3,q-fin.GN
1592,Gamma-delayed deuteron emission of the 6Li (0+;T=1) halo state,Room 8,nucl-th
1593,"Accurate Evaluation of Asset Pricing Under Uncertainty and Ambiguity of
  Information",Room 3,q-fin.GN
1594,Federated Learning for Keyword Spotting,Room 12,eess.AS
1595,Exact solutions for a class of integrable Henon-Heiles-type systems,Room 5,nlin.SI
1596,"Coupled backward- and forward-propagating solitons in a composite
  right/left-handed transmission line",Room 8,nlin.PS
1597,"Possible non-thermal nature of the soft-excess emission in the cluster
  of galaxies Sersic 159-03",Room 12,astro-ph
1598,"Stability of new exact solutions of the nonlinear Schrodinger equation
  in a Poschl-Teller external potential",Room 5,nlin.PS
1599,"Multifractal Height Cross-Correlation Analysis: A New Method for
  Analyzing Long-Range Cross-Correlations",Room 3,q-fin.ST
1600,Multivariate Copula Spatial Dependency in One Bit Compressed Sensing,Room 2,eess.SP
1601,An automatic volume control for preserving intelligibility,Room 2,cs.SD
1602,An individual-based model of infection spread in an urban environment,Room 12,q-bio.PE
1603,The effect of strain on the adsorption of CO on Pd(100),Room 8,cond-mat
1604,Efficient immunization strategies to prevent financial contagion,Room 3,q-fin.RM
1605,"Prolific interaction structures and shape-changing collisions in an
  erbium-doped fiber system",Room 8,nlin.PS
1606,A Theory of the Saving Rate of the Rich,Room 3,econ.TH
1607,On the p-adic Leopoldt Transform of a power series,Room 7,math.NT
1608,Quelques plats pour la m\'etrique de Hofer,Room 7,math.DG
1609,A Sequent Calculus for Modelling Interferences,Room 12,cs.LO
1610,On some properties of the new Sine-skewed Cardioid Distribution,Room 1,stat.OT
1611,"Development of accurate human head models for personalized
  electromagnetic dosimetry using deep learning",Room 2,eess.IV
1612,Experimental Study of Pollutant Transfer within Dwellings,Room 4,physics.med-ph
1613,"Valued Ties Tell Fewer Lies: Why Not To Dichotomize Network Edges With
  Thresholds",Room 1,stat.AP
1614,Use of Wikipedia Categories in Entity Ranking,Room 1,cs.IR
1615,"Reinforcement Learning Portfolio Manager Framework with Monte Carlo
  Simulation",Room 2,q-fin.CP
1616,Survival benefits in mimicry: a quantitative framework,Room 6,q-bio.PE
1617,Dominance Solvability in Random Games,Room 4,econ.TH
1618,PT-Scotch: A tool for efficient parallel graph ordering,Room 10,cs.DC
1619,Tribute to Francisco (Paco) Yndurain,Room 12,physics.hist-ph
1620,The reaction-free trajectories of a classical point charge,Room 11,physics.gen-ph
1621,"Loewner equations, Hirota equations and reductions of universal Whitham
  hierarchy",Room 5,nlin.SI
1622,"Discretionary Extensions to Unemployment-Insurance Compensation and Some
  Potential Costs for a McCall Worker",Room 1,econ.GN
1623,NodeTrix: Hybrid Representation for Analyzing Social Networks,Room 1,cs.HC
1624,On the foundations of thermodynamics,Room 5,cond-mat.stat-mech
1625,"Cancer Genesis and Progression as Dynamics in Functional Landscape of
  Endogenous Molecular-Cellular Network",Room 6,q-bio.SC
1626,"A Scoping Review of Internal Migration and Left-behind Children's
  Wellbeing in China",Room 12,econ.GN
1627,Computing word length in alternate presentations of Thompson's group F,Room 7,math.GR
1628,"Optimal portfolio with unobservable market parameters and certainty
  equivalence principle",Room 3,q-fin.MF
1629,Delay Induced Swarm Pattern Bifurcations in Mixed Reality Experiments,Room 8,nlin.AO
1630,Examining the Location of the Magnetopause in an Undergraduate Lab,Room 11,physics.space-ph
1631,"`To Have What They are Having': Portfolio Choice for Mimicking
  Mean-Variance Savers",Room 4,q-fin.PM
1632,"Realizing Kasparov's KK-theory groups as the homotopy classes of maps of
  a Quillen model category",Room 7,math.KT
1633,Sparse Learning of Markovian Population Models in Random Environments,Room 6,q-bio.QM
1634,"Clustering of molecular dynamics trajectories via peak-picking in
  multidimensional PCA-derived distributions",Room 2,q-bio.BM
1635,"Church, Cardinal and Ordinal Representations of Integers and Kolmogorov
  complexity",Room 12,math.LO
1636,Spectral stability of periodic NLS and CGL solutions,Room 5,nlin.SI
1637,Pricing Weakly Model Dependent Barrier Products,Room 3,q-fin.PR
1638,"Cell-to-cell variability and robustness in S-phase duration from genome
  replication kinetics",Room 6,q-bio.GN
1639,"Majority rule as a unique voting method in elections with multiple
  candidates",Room 4,econ.TH
1640,"Long-term and blow-up behaviors of exponential moments in
  multi-dimensional affine diffusions",Room 3,q-fin.PR
1641,"Statistical inference on the h-index with an application to
  top-scientist performance",Room 12,stat.AP
1642,"Homological Characterizations of Spiral Defect Chaos in Rayleigh-Benard
  Convection",Room 5,nlin.PS
1643,A weighted Discrepancy Bound of quasi-Monte Carlo Importance Sampling,Room 1,stat.CO
1644,The Labor Economics of Paid Crowdsourcing,Room 4,cs.HC
1645,"Bootstrap-Assisted Unit Root Testing With Piecewise Locally Stationary
  Errors",Room 1,econ.EM
1646,Heterogeneous Regression Models for Clusters of Spatial Dependent Data,Room 1,econ.EM
1647,Algebraic curves P(x)-Q(y)=0 and functional equations,Room 7,math.CV
1648,Maxima Units Search (MUS) algorithm: methodology and applications,Room 2,stat.CO
1649,"Behavioral Biases and Nonadditive Dynamics in Risk Taking: An
  Experimental Investigation",Room 3,econ.GN
1650,"Accuracy Limits of Polarization-Independent Optical Depolarizers Based
  on Rotating Waveplates",Room 11,eess.SP
1651,"Algebraic curves for commuting elements in the q-deformed Heisenberg
  algebra",Room 7,math.RA
1652,"Fast joint detection-estimation of evoked brain activity in
  event-related fMRI using a variational approach",Room 1,stat.AP
1653,A general homological Kleiman-Bertini theorem,Room 7,math.AG
1654,"A Weighted Spike-Triggered Average of a Fluctuating Stimulus Yielding
  the Phase Response Curve",Room 8,nlin.AO
1655,The Diagonalized Newton Algorithm for Nonnegative Matrix Factorization,Room 2,cs.NA
1656,"Short expressions of permutations as products and cryptanalysis of the
  Algebraic Eraser",Room 10,math.GR
1657,Surplus-invariant risk measures,Room 3,q-fin.MF
1658,"Fast Bayesian Feature Selection for High Dimensional Linear Regression
  in Genomics via the Ising Approximation",Room 1,q-bio.QM
1659,"Femtosecond non-equilibrium dynamics of clusters irradiated with short
  intense VUV pulses",Room 8,physics.plasm-ph
1660,"Data Visualization on Day One: Bringing Big Ideas into Intro Stats Early
  and Often",Room 12,stat.OT
1661,Ascertaining price formation in cryptocurrency markets with DeepLearning,Room 3,q-fin.GN
1662,Slice sampling covariance hyperparameters of latent Gaussian models,Room 1,stat.CO
1663,Quantum Portfolios of Observables and the Risk Neutral Valuation Model,Room 8,q-fin.GN
1664,Regression Trees for Longitudinal Data,Room 1,stat.ME
1665,"MetaScope - Fast and accurate identification of microbes in metagenomic
  sequencing data",Room 2,q-bio.GN
1666,Hartman-Mycielski functor of non-metrizable compacta,Room 7,math.GN
1667,Coarse-grained description of general oscillator networks,Room 8,nlin.AO
1668,Rigorous Computing of Rectangle Scan Probabilities for Markov Increments,Room 1,stat.CO
1669,A joint test of unconfoundedness and common trends,Room 4,econ.EM
1670,An optimal trading problem in intraday electricity markets,Room 3,q-fin.TR
1671,Is Covid-19 severity associated with ACE2 degradation?,Room 11,q-bio.TO
1672,"A New Graded Algebra Structure on Differential Polynomials: Level
  Grading and its Application to the Classification of Scalar Evolution
  Equations in 1+1 Dimension",Room 7,nlin.SI
1673,What do online listings tell us about the housing market?,Room 3,econ.EM
1674,Stratified Analysis of `Probabilities of Causation',Room 4,stat.ME
1675,Two-dimensional nonlinear vector states in Bose-Einstein condensates,Room 8,nlin.PS
1676,Cooperation with Complement is Better,Room 4,cs.MA
1677,"Analysis of Multivariate Data and Repeated Measures Designs with the R
  Package MANOVA.RM",Room 1,stat.CO
1678,Audio Inpainting: Revisited and Reweighted,Room 2,eess.AS
1679,Analysis of a five-factor capital market model,Room 3,q-fin.MF
1680,Distinguishing manipulated stocks via trading network analysis,Room 4,q-fin.TR
1681,Data-Driven Design for Fourier Ptychographic Microscopy,Room 2,eess.SP
1682,Introducing Hierarchy in Energy Games,Room 10,cs.GT
1683,What Lives? A meta-analysis of diverse opinions on the definition of life,Room 6,q-bio.OT
1684,Abstract p-time proof nets for MALL: Conflict nets,Room 12,math.LO
1685,Fast Mixing Random Walks and Regularity of Incompressible Vector Fields,Room 5,stat.CO
1686,"On elliptic differential operators with shifts: II. The cohomological
  index formula",Room 7,math.OA
1687,"Degradation of 2-mercaptobenzothizaole in microbial electrolysis cells:
  intermediates, toxicity, and microbial communities",Room 8,q-bio.GN
1688,"Panel quantile regressions for estimating and predicting the
  Value--at--Risk of commodities",Room 3,q-fin.RM
1689,"Lienard-Wiechert Potentials and the Method of Images in an RF Free
  Electron Laser Photoinjector",Room 11,physics.acc-ph
1690,Tests for multivariate normality based on canonical correlations,Room 1,stat.ME
1691,"A devil's staircase from rotations and irrationality measures for
  Liouville numbers",Room 5,math.NT
1692,New Mechanics of Traumatic Brain Injury,Room 11,q-bio.TO
1693,Pico-Newton mechanical forces promote neurite growth,Room 6,q-bio.CB
1694,Content Sharing for Mobile Devices,Room 10,cs.DC
1695,Anisomagnetic quasi-achromats with small effective emittance,Room 11,physics.acc-ph
1696,"Damping of sound waves in superfluid nucleon-hyperon matter of neutron
  stars",Room 8,astro-ph.SR
1697,"Reduced Bloch mode expansion for periodic media band structure
  calculations",Room 8,physics.comp-ph
1698,"Both invariant principles implied by Marx's law of value are necessary
  and sufficient to solve the transformation problem through Morishima's
  formalism",Room 4,econ.TH
1699,Applying Practice to Theory,Room 5,cs.CC
1700,A New Structural Property of SAT,Room 7,cs.CC
1701,Mesoscopic approach to minority games in herd regime,Room 4,nlin.AO
1702,"Data needs for integrated economic-epidemiological models of pandemic
  mitigation policies",Room 4,econ.GN
1703,"Deep Transform: Cocktail Party Source Separation via Probabilistic
  Re-Synthesis",Room 2,cs.SD
1704,Dimension reduction in representation of the data,Room 2,stat.ML
1705,Tensor Canonical Correlation Analysis for Multi-view Dimension Reduction,Room 2,stat.ML
1706,"A Bounded $p$-norm Approximation of Max-Convolution for Sub-Quadratic
  Bayesian Inference on Additive Factors",Room 1,stat.CO
1707,"From Transcripts to Insights: Uncovering Corporate Risks Using
  Generative AI",Room 3,econ.GN
1708,Self pinning protein-laden drops,Room 8,physics.chem-ph
1709,"PHENIX Measurement of High-$p_T$ Hadron-hadron and Photon-hadron
  Azimuthal Correlations",Room 11,nucl-ex
1710,Uncertainty spill-overs: when policy and financial realms overlap,Room 3,econ.GN
1711,"Longitudinal Stability of Recycler Bunches; Part I: Thresholds for Loss
  of Landau Damping",Room 8,physics.acc-ph
1712,"Approximate Dynamic Programming By Minimizing Distributionally Robust
  Bounds",Room 4,stat.ML
1713,ROPE: high-dimensional network modeling with robust control of edge FDR,Room 2,stat.CO
1714,"S2A: Wasserstein GAN with Spatio-Spectral Laplacian Attention for
  Multi-Spectral Band Synthesis",Room 2,eess.IV
1715,An Approximation Ratio for Biclustering,Room 2,cs.DS
1716,Chimeras and clusters emerging from robust-chaos dynamics,Room 8,nlin.AO
1717,"An integral geometry lemma and its applications: the nonlocality of the
  Pavlov equation and a tomographic problem with opaque parabolic objects",Room 5,nlin.SI
1718,"Determining the unsaturated hydraulic conductivity of a compacted
  sand-bentonite mixture under constant volume and free-swell conditions",Room 11,physics.geo-ph
1719,Finding Sparse Cuts Locally Using Evolving Sets,Room 4,cs.DS
1720,Study of a model for the distribution of wealth,Room 3,nlin.AO
1721,Robust decision-making under risk and ambiguity,Room 1,econ.EM
1722,"An Algorithmic Pipeline for Analyzing Multi-parametric Flow Cytometry
  Data",Room 2,q-bio.QM
1723,Highly Nonlinear Solitary Waves in Heterogeneous Periodic Granular Media,Room 8,nlin.PS
1724,"HIV and TB in Eastern and Southern Africa: Evidence for behaviour change
  and the impact of ART",Room 12,q-bio.QM
1725,An Experiment of Research-Oriented Teaching/Learning,Room 11,physics.ed-ph
1726,In Pursuit of Spreadsheet Excellence,Room 12,cs.SE
1727,"Information Validates the Prior: A Theorem on Bayesian Updating and
  Applications",Room 4,econ.TH
1728,Quantifying Gait Changes Using Microsoft Kinect and Sample Entropy,Room 1,stat.CO
1729,Hodge polynomials of the moduli spaces of rank 3 pairs,Room 7,math.AG
1730,Improving Limited Angle CT Reconstruction with a Robust GAN Prior,Room 2,eess.IV
1731,"Collisionless reconnection: Mechanism of self-ignition in thin current
  sheets",Room 8,physics.space-ph
1732,On the convergence of the Fitness-Complexity Algorithm,Room 3,q-fin.EC
1733,"Coarse-graining of cellular automata, emergence, and the predictability
  of complex systems",Room 5,nlin.CG
1734,Somatic Development Analysis of Handball Players using Computer Programs,Room 4,physics.med-ph
1735,Canonical connections on paracontact manifolds,Room 7,math.DG
1736,Internal precategories relative to split epimorphisms,Room 7,math.CT
1737,Periodic oscillations of dark solitons in parabolic potentials,Room 5,cond-mat.other
1738,"Optimized Preprocessing and Machine Learning for Quantitative Raman
  Spectroscopy in Biology",Room 1,eess.SP
1739,Minimax rank estimation for subspace tracking,Room 2,stat.ME
1740,A Note on the Pricing of Basket Options Using Taylor Approximations,Room 12,q-fin.PR
1741,"An Implementation of the Language Lambda Prolog Organized around
  Higher-Order Pattern Unification",Room 7,cs.PL
1742,Screening masses in the SU(3) pure gauge theory and universality,Room 7,hep-lat
1743,"Mod\'elisation des facteurs influen\c{c}ant la performance de la
  cha\^ine logistique",Room 4,cs.SE
1744,"Estimation of a Factor-Augmented Linear Model with Applications Using
  Student Achievement Data",Room 1,econ.EM
1745,"Direct Quantification for Coronary Artery Stenosis Using Multiview
  Learning",Room 2,eess.IV
1746,"Mirzakharni's recursion formula is equivalent to the Witten-Kontsevich
  theorem",Room 7,math.AG
1747,"Matching Under Preference Uncertainty: Random Allocation, Informativeness, and Welfare",Room 4,econ.TH
1748,"Observation of room-temperature ferroelectricity in tetragonal strontium
  titanate thin films on SrTiO3 (001) substrates",Room 8,cond-mat.mtrl-sci
1749,"Stability and chaotic behavior of Bose-Einstein condensates in optical
  lattices with two- and three-body interactions",Room 8,cond-mat.quant-gas
1750,"ProxIQA: A Proxy Approach to Perceptual Optimization of Learned Image
  Compression",Room 2,eess.IV
1751,"Localised nonlinear modes in the PT-symmetric double-delta well
  Gross-Pitaevskii equation",Room 5,nlin.PS
1752,Volumetric Attention for 3D Medical Image Segmentation and Detection,Room 2,eess.IV
1753,"Does an awareness of differing types of spreadsheet errors aid end-users
  in identifying spreadsheets errors?",Room 12,cs.HC
1754,"Deciphering circulating tumor cells binding in a microfluidic system
  thanks to a parameterized mathematical model",Room 8,q-bio.TO
1755,"A Hybrid Model for Disease Spread and an Application to the SARS
  Pandemic",Room 12,cs.MA
1756,"Continuous and discrete Neumann systems on Stiefel varieties as matrix
  generalizations of the Jacobi-Mumford systems",Room 7,nlin.SI
1757,The association between Marital Locus of Control and break-up intentions,Room 1,econ.GN
1758,"FDD Channel Estimation via Covariance Identification in Wideband Massive
  MIMO Systems",Room 11,eess.SP
1759,"Some open questions in ""wave chaos""",Room 5,nlin.CD
1760,Are Neutrinos Majorana Particles?,Room 11,physics.pop-ph
1761,"Combined servo error pre-compensation and feedrate optimization -- with
  application to a 3D printer and precision motion stage",Room 10,eess.SY
1762,"Zero-temperature phase of the XY spin glass in two dimensions: Genetic
  embedded matching heuristic",Room 8,cond-mat.dis-nn
1763,"Versatile transporter apparatus for experiments with optically trapped
  Bose-Einstein condensates",Room 8,cond-mat.quant-gas
1764,"Correlation-Polarization Effects in Electron/Positron Scattering from
  Acetylene: A Comparison of Computational Models",Room 8,physics.chem-ph
1765,Continuous breakdown of Purcell's scallop theorem with inertia,Room 8,cond-mat.soft
1766,lil' UCB : An Optimal Exploration Algorithm for Multi-Armed Bandits,Room 1,stat.ML
1767,The Kadets 1/4 theorem for polynomials,Room 5,math.CA
1768,"Process and Policy Insights from an Intercomparison of Open Electricity
  System Capacity Expansion Models",Room 4,econ.GN
1769,"Relative Positional Encoding for Speech Recognition and Direct
  Translation",Room 2,eess.AS
1770,"Blind Source Separation of Optical Wireless Communications in Noisy
  Environments",Room 2,eess.SP
1771,Stochastic Superoptimization,Room 10,cs.PF
1772,PyDEC: Software and Algorithms for Discretization of Exterior Calculus,Room 5,cs.NA
1773,Large Scale Correlation Screening,Room 3,stat.ML
1774,Transcription fluctuation effects on biochemical oscillations,Room 6,q-bio.MN
1775,On the Index of Congruence Subgroups of Aut(F_n),Room 7,math.GR
1776,"Statistics 101, 201, and 202: Three Shiny Apps for Teaching Probability Distributions, Inferential Statistics, and Simple Linear Regression",Room 12,stat.OT
1777,Principles of the motion of fluids,Room 7,physics.hist-ph
1778,"Complexity, information transfer and collective behavior in chaotic
  dynamical networks",Room 6,nlin.CD
1779,"The potential stickiness of pandemic-induced behavior changes in the
  United States",Room 4,stat.OT
1780,Bulk viscosity of superfluid neutron stars,Room 8,astro-ph
1781,"A nonlinearly ill-posed problem of reconstructing the temperature from
  interior data",Room 5,math.AP
1782,"Development of age spots as a result of accumulation of aged cells in
  aged skin",Room 6,q-bio.TO
1783,"van der Waals-like phase separation instability of a driven granular gas
  in three dimensions",Room 8,cond-mat.soft
1784,"Approximate homotopy symmetry method and homotopy series solutions to
  the six-order boussinesq equation",Room 12,nlin.PS
1785,"Laws of large numbers in stochastic geometry with statistical
  applications",Room 5,math.ST
1786,"RIP-Based Near-Oracle Performance Guarantees for Subspace-Pursuit,
  CoSaMP, and Iterative Hard-Thresholding",Room 2,stat.ME
1787,"A superpixel-driven deep learning approach for the analysis of
  dermatological wounds",Room 2,eess.IV
1788,"Sampling for Inference in Probabilistic Models with Fast Bayesian
  Quadrature",Room 1,stat.ML
1789,A generalization of the Shestakov-Umirbaev inequality,Room 5,math.AC
1790,"Design and performance analysis of a fully distributed source detection
  algorithm for WSNs",Room 10,eess.SP
1791,Solvable Model of Spiral Wave Chimeras,Room 5,nlin.PS
1792,Coping with Negative Short-Rates,Room 3,q-fin.MF
1793,"Exponential wealth distribution in a random market. A rigorous
  explanation",Room 3,q-fin.GN
1794,"More, better or different? Trade-offs between group size and competence
  development in jury theorems",Room 4,econ.TH
1795,"A study of co-movements between USA and Latin American stock markets: a
  cross-bicorrelations perspective",Room 3,q-fin.ST
1796,"Anomaly Detection in Time Series of Graphs using Fusion of Graph
  Invariants",Room 2,stat.ML
1797,"Four-body quantum dynamics of two-center electronic transitions in
  relativistic ion-atom collisions and target recoil momentum spectroscopy",Room 8,physics.atom-ph
1798,Information transfer with small-amplitude signals,Room 6,q-bio.NC
1799,Feature Selection By KDDA For SVM-Based MultiView Face Recognition,Room 2,cs.CV
1800,"Effect of the volume of the drainage system on the measurement of
  undrained thermo-poro-elastic parameters",Room 11,physics.geo-ph
1801,"High fidelity optogenetic control of individual prefrontal cortical
  pyramidal neurons in vivo",Room 6,q-bio.NC
1802,"Cosets, genericity, and the Weyl group",Room 7,math.GR
1803,On the Lagrangian structure of Calogero's Goldfish model,Room 5,nlin.SI
1804,A Simplified Approach to Two-Port Analysis in Feedback,Room 11,eess.SY
1805,Singular point characterization in microscopic flows,Room 8,physics.optics
1806,Formation of the frozen core in critical Boolean Networks,Room 6,q-bio.MN
1807,"Clique of functional hubs orchestrates population bursts in
  developmentally regulated neural networks",Room 6,q-bio.NC
1808,"Looking into informal currency markets as Limit Order Books: impact of
  market makers",Room 3,q-fin.TR
1809,Ideal synchronizer for marked pairs in fork-join network,Room 10,cs.DM
1810,A unified description of solvent effects in the helix-coil transition,Room 8,q-bio.BM
1811,"Computer aided planning and navigation for orbito-zygomatic
  reconstruction",Room 11,physics.med-ph
1812,On b-perfect chordal graphs,Room 5,cs.DM
1813,"The Leland-Toft optimal capital structure model under Poisson
  observations",Room 3,q-fin.PR
1814,"Utility maximization problem with random endowment and transaction
  costs: when wealth may become negative",Room 3,q-fin.MF
1815,Initial Distribution Spread: A density forecasting approach,Room 1,nlin.CD
1816,Robust self-triggered coordination with ternary controllers,Room 10,cs.SY
1817,Scaling conditional tail probability and quantile estimators,Room 3,q-fin.RM
1818,Ranking alternatives from opinions on criteria,Room 4,econ.TH
1819,"Generalized Expected Discounted Penalty Function at General Drawdown for
  L\'{e}vy Risk Processes",Room 4,q-fin.PR
1820,"Towards Fast, Flexible and Sensor-Free Control of Standalone PVDG
  Systems",Room 10,eess.SY
1821,"A modeling of the carbon-nitrogen cycle transport at Igap\'o I Lake -
  Londrina, Paran\'a, Brazil",Room 1,physics.ao-ph
1822,Doubles and Negatives are Positive (in Self-Assembly),Room 7,cs.ET
1823,Inference for Two-Stage Extremum Estimators,Room 4,econ.EM
1824,Spherical two-distance sets,Room 10,math.MG
1825,Exploiting Bird Locomotion Kinematics Data for Robotics Modeling,Room 2,cs.RO
1826,Reflection matrices for the $U_{q}[sl(m|n)^{(1)}] $ vertex model,Room 5,nlin.SI
1827,"The regulatory switch of F1-ATPase studied by single-molecule FRET in
  the ABEL Trap",Room 6,q-bio.BM
1828,"A Symmetric System of Mixed Painleve III - V Equations and its
  Integrable Origin",Room 5,nlin.SI
1829,"Three-dimensional solitons and vortices in dipolar Bose-Einstein
  condensates",Room 8,nlin.PS
1830,Robust Low-rank Tensor Recovery: Models and Algorithms,Room 1,stat.ML
1831,"Graphic Processing Unit Simulation of Axon Growth and Guidance through
  Cue Diffusion on Massively Parallel Processors",Room 6,q-bio.NC
1832,"Bifurcation analysis and structural stability of simplicial oscillator
  populations",Room 8,nlin.AO
1833,An $\Omega(\log(N)/N)$ Lookahead is Sufficient to Bound Costs in the Overloaded Loss Network,Room 3,econ.TH
1834,Algebraic Ordinals,Room 12,cs.FL
1835,Error-free milestones in error prone measurements,Room 1,stat.AP
1836,Switched systems and the logical foundation of circuit theory,Room 10,nlin.SI
1837,The importance and impact of discoveries about neural crest fates,Room 6,q-bio.CB
1838,Extreme values for Benedicks-Carleson quadratic maps,Room 5,math.DS
1839,Iterative Time Reversal with Tunable Convergence,Room 11,nlin.CD
1840,"Cs CPT magnetometer for cardio-signal detection in unshielded
  environment",Room 2,physics.atom-ph
1841,"Parametric estimation in noisy blind deconvolution model: a new
  estimation procedure",Room 1,math.ST
1842,"Multi-view Frequency LSTM: An Efficient Frontend for Automatic Speech
  Recognition",Room 2,eess.AS
1843,Large Scale Intermittency in the Atmospheric Boundary Layer,Room 5,physics.flu-dyn
1844,On Stable H-infinity Controllers for Time Delay Systems,Room 12,eess.SY
1845,A Multivariate Training Technique with Event Reweighting,Room 1,physics.data-an
1846,"SME investment best strategies. Outliers for assessing how to optimize
  performance",Room 3,q-fin.GN
1847,"Canard-induced mixed mode oscillations in an excitable glow discharge
  plasmas",Room 11,nlin.CD
1848,Control of spatially rotating structures in diffractive Kerr cavities,Room 11,nlin.PS
1849,"Same Root Different Leaves: Time Series and Cross-Sectional Methods in
  Panel Data",Room 4,econ.EM
1850,"Investigation of spin scattering mechanism in silicon channels of
  Fe/MgO/Si lateral spin valves",Room 8,physics.app-ph
1851,"Binding of bivalent transcription factors to active and inactive regions
  folds human chromosomes into loops, rosettes and domains",Room 6,q-bio.BM
1852,The needlets bispectrum,Room 11,math.ST
1853,Interactive Character Posing by Sparse Coding,Room 10,cs.GR
1854,"Construction and test of a moving boundary model for negative streamer
  discharges",Room 8,physics.plasm-ph
1855,RSS-Based Detection of Drones in the Presence of RF Interferers,Room 10,eess.SP
1856,Bayesian Learning-Based Adaptive Control for Safety Critical Systems,Room 4,eess.SY
1857,Optimal tests in AR(m) time series model,Room 1,stat.AP
1858,Leonard triples and hypercubes,Room 5,math.CO
1859,"Random-set methods identify distinct aspects of the enrichment signal in
  gene-set analysis",Room 2,stat.AP
1860,A Scrambled Method of Moments,Room 1,econ.EM
1861,"Contrastive Separative Coding for Self-supervised Representation
  Learning",Room 2,eess.AS
1862,"Stretching and twisting of the DNA duplexes in coarse grained dynamical
  models",Room 8,q-bio.BM
1863,A Model for Probabilistic Reasoning on Assume/Guarantee Contracts,Room 10,cs.PF
1864,"Improving Noise Robustness of an End-to-End Neural Model for Automatic
  Speech Recognition",Room 12,eess.AS
1865,"Sparse estimation via nonconcave penalized likelihood in a factor
  analysis model",Room 1,stat.ME
1866,Preference-based Energy Exchange in a Network of Microgrids,Room 10,eess.SY
